,artist,track,timeInS,date.entered,date.peaked,week,chart pos
9652,"Jackson, Alan",It Must Be Love,173,2000-06-24,2000-09-02,31,
9653,"Griggs, Andy",She's More,199,2000-03-11,2000-06-10,31,
9654,No Doubt,Simple Kind Of Life,251,2000-07-01,2000-07-22,31,
9655,"Jean, Wyclef",911,240,2000-10-07,2000-11-25,31,
9656,Rascal Flatts,Prayin' For Daylight,216,2000-05-06,2000-08-12,31,
9657,Vitamin C,Graduation (Friends Forever),263,2000-04-15,2000-06-10,31,
9658,"Gilman, Billy",One Voice,247,2000-06-17,2000-09-02,31,
9659,Lonestar,Smile,213,1999-12-18,2000-02-12,31,
9660,"Rogers, Kenny",Buy Me A Rose,226,2000-03-11,2000-05-06,31,
9661,"Lawrence, Tracy",Lessons Learned,175,2000-01-29,2000-04-08,31,
9662,"Strait, George",Go On,228,2000-08-26,2000-10-28,31,
9663,Sisqo,Got To Get It,232,1999-11-20,2000-01-22,31,
9664,Baha Men,Who Let The Dogs Out,197,2000-07-22,2000-10-21,31,
9665,"Walker, Clay",The Chain Of Love,303,2000-04-15,2000-06-10,31,
9666,"McBride, Martina",Love's The Only House,313,2000-02-05,2000-04-15,31,
9667,Amber,Sexual (Li Da Di),278,1999-07-17,2000-02-12,31,42.0
9668,"Tippin, Aaron",Kiss This,173,2000-08-26,2000-10-21,31,
9669,SheDaisy,I Will.. But,220,2000-07-15,2000-09-16,31,
9670,"Raye, Collin",Couldn't Last A Moment,220,2000-03-18,2000-06-24,31,
9671,Black Rob,Whoa!,244,2000-03-04,2000-04-15,31,
9672,"Jackson, Alan",Pop A Top,184,1999-11-13,2000-01-22,31,
9673,"Black, Clint",Been There,328,2000-02-19,2000-04-15,31,
9674,Common,The Light,235,2000-08-05,2000-09-09,31,
9675,"Vassar, Phil",Carlene,247,2000-03-04,2000-04-22,31,
9676,"Jackson, Alan",www.memory,156,2000-11-04,2000-12-23,31,
9677,Vitamin C,The Itch,210,2000-12-02,2000-12-16,31,
9678,"Eastsidaz, The",G'D Up,267,2000-01-08,2000-02-12,31,
9679,Ideal,Whatever,228,2000-06-10,2000-08-19,31,
9680,"Thomas, Carl",Emotional,271,2000-11-25,2000-12-30,31,
9681,Ginuwine,None Of Ur Friends Business,252,1999-12-11,2000-01-22,31,
9682,"Davidson, Clay",Unconditional,236,2000-03-25,2000-06-17,31,
9683,DMX,What You Want,245,2000-07-01,2000-09-23,31,
9684,"John, Elton",Someday Out Of The Blue,281,2000-04-22,2000-05-06,31,
9685,Pearl Jam,Nothing As It Seems,320,2000-05-13,2000-05-13,31,
9686,Mya,The Best Of Me,252,2000-04-15,2000-05-20,31,
9687,"Heatherly, Eric",Flowers On The Wall,196,2000-04-29,2000-08-12,31,
9688,Eminem,Stan,326,2000-11-04,2000-12-02,31,
9689,"McEntire, Reba",I'll Be,263,2000-05-13,2000-07-29,31,
9690,"Lopez, Jennifer",Feelin' Good,268,2000-02-19,2000-04-08,31,
9691,"Urban, Keith",Your Everything,250,2000-07-15,2000-09-16,31,
9692,TLC,Dear Lie,276,2000-02-12,2000-03-04,31,
9693,"Gill, Vince",Feels Like Love,253,2000-09-02,2000-11-18,31,
9694,"Houston, Whitney",Could I Have This Kiss Forever,234,2000-06-17,2000-08-05,31,
9695,Bloodhound Gang,The Bad Touch,260,2000-03-18,2000-04-15,31,
9696,"Williams, Robbie",Angels,236,1999-11-20,2000-01-22,31,
9697,"Messina, Jo Dee",Because You Love Me,230,2000-01-29,2000-03-11,31,
9698,"Keith, Toby",Country Comes To Town,219,2000-08-05,2000-10-14,31,
9699,Beenie Man,Girls Dem Sugar,257,2000-10-21,2000-12-02,31,
9700,"Hill, Faith",Let's Make Love,251,2000-08-12,2000-10-21,31,
9701,Kelis,Caught Out There,249,1999-12-04,2000-01-08,31,
9702,Jay-Z,Anything,221,2000-02-26,2000-03-11,31,
9703,3 Doors Down,Loser,264,2000-10-21,2000-12-02,31,
9704,Brooks & Dunn,You'll Always Be Loved By Me,178,2000-06-10,2000-09-09,31,
9705,"Chesney, Kenny",What I Need To Do,245,2000-04-01,2000-06-10,31,
9706,"Stone, Angie",No More Rain (In This Cloud),282,1999-12-25,2000-01-22,31,
9707,Da Brat,That's What I'm Looking For,224,2000-02-26,2000-04-15,31,
9708,SheDaisy,This Woman Needs,200,2000-02-05,2000-03-04,31,
9709,Papa Roach,Last Resort,199,2000-07-29,2000-12-02,31,
9710,"Adams, Yolanda",Open My Heart,330,2000-08-26,2000-10-21,31,
9711,Shyne,Bad Boyz,262,2000-09-09,2000-10-28,31,
9712,R.E.M.,The Great Beyond,250,1999-12-25,2000-01-29,31,
9713,"Diffie, Joe",It's Always Somethin',175,2000-08-12,2000-09-16,31,
9714,"McGraw, Tim",Some Things Never Change,236,2000-05-13,2000-07-01,31,
9715,"Henley, Don",Taking You Home,248,2000-06-24,2000-08-05,31,
9716,Eminem,The Way I Am,280,2000-08-26,2000-09-30,31,
9717,Nas,You Owe Me,231,2000-03-25,2000-04-15,31,
9718,Sister Hazel,Change Your Mind,242,2000-07-15,2000-08-05,31,
9719,Puff Daddy,Best Friend,333,2000-02-12,2000-02-19,31,
9720,"McBride, Martina",There You Are,206,2000-09-09,2000-10-21,31,
9721,Usher,Pop Ya Collar,216,2000-11-04,2000-11-18,31,
9722,Lil' Kim,No Matter What They Say,252,2000-07-15,2000-08-05,31,
9723,LFO,I Don't Wanna Kiss You Goodnight,300,2000-04-15,2000-04-22,31,
9724,SheDaisy,Deck The Halls,226,1999-12-25,2000-01-01,31,
9725,Splender,I Think God Can Explain,235,2000-06-10,2000-06-24,31,
9726,"Simpson, Jessica",Where You Are,231,2000-04-01,2000-04-15,31,
9727,M2M,Mirror Mirror,199,2000-04-01,2000-05-27,31,
9728,Kumbia Kings,U Don't Love Me,230,2000-03-04,2000-03-18,31,
9729,Joe,Treat Her Like A Lady,252,2000-08-05,2000-08-19,31,
9730,"Blige, Mary J.",Deep Inside,326,1999-11-13,2000-01-22,31,
9731,"Price, Kelly",You Should've Told Me,192,2000-09-23,2000-12-02,31,
9732,Changing Faces,That Other Woman,240,2000-09-30,2000-10-28,31,
9733,"Wright, Chely",It Was,231,2000-03-04,2000-04-15,31,
9734,Limp Bizkit,Rollin',244,2000-11-11,2000-12-09,31,
9735,Hot Boys,I Need A Hot Girl,256,2000-02-19,2000-03-11,31,
9736,Jay-Z,Do It Again (Put Ya Hands Up),227,2000-01-15,2000-01-29,31,
9737,"Adkins, Trace",More,185,2000-04-29,2000-06-17,31,
9738,"Dixie Chicks, The",Cold Day In July,312,2000-06-24,2000-08-05,31,
9739,"Price, Kelly",As We Lay,380,2000-07-15,2000-08-05,31,
9740,DMX,What's My Name,230,2000-01-15,2000-02-12,31,
9741,"Martin, Ricky",Private Emotion,242,2000-03-11,2000-03-18,31,
9742,Nine Days,If I Am,258,2000-12-02,2000-12-02,31,
9743,"Blige, Mary J.",Give Me You,300,2000-04-15,2000-05-13,31,
9744,Red Hot Chili Peppers,Californication,321,2000-07-29,2000-10-14,31,
9745,Third Eye Blind,Deep Inside Of You,250,2000-09-02,2000-10-07,31,
9746,"Brooks, Garth",Do What You Gotta Do,176,2000-02-19,2000-03-18,31,
9747,"Offspring, The",Original Prankster,222,2000-11-25,2000-12-09,31,
9748,"Anthony, Marc",My Baby You,239,2000-09-16,2000-10-07,31,
9749,"Houston, Whitney","Same Script, Different Cast",285,2000-06-17,2000-07-15,31,
9750,D'Angelo,Left & Right,275,1999-12-11,2000-01-01,31,
9751,"Kravitz, Lenny",I Belong To You,257,2000-03-25,2000-04-08,31,
9752,"Loveless, Patty",That's The Kind Of Mood I'm In,207,2000-09-16,2000-11-18,31,
9753,Q-Tip,Breathe And Stop,246,2000-01-22,2000-01-22,31,
9754,"Rimes, LeAnn",Can't Fight The Moonlight,213,2000-09-09,2000-09-16,31,
9755,Lil Wayne,Tha Block Is Hot,253,1999-12-04,2000-01-08,31,
9756,2 Pac,Baby Don't Cry (Keep Ya Head Up II),262,2000-02-26,2000-03-11,31,
9757,"Wallflowers, The",Sleepwalker,209,2000-10-28,2000-10-28,31,
9758,Drama,"Left, Right, Left",217,2000-02-12,2000-03-18,31,
9759,Limp Bizkit,N 2 Gether Now,235,1999-12-04,2000-01-08,31,
9760,Lox,"Ryde or Die, Chick",236,2000-03-18,2000-03-25,31,
9761,Ying Yang Twins,Whistle While You Twurk,259,2000-03-18,2000-04-29,31,
9762,"Walker, Clay","Live, Laugh, Love",246,1999-12-04,2000-01-22,31,
9763,Metallica,No Leaf Clover (Live),343,2000-02-12,2000-03-11,31,
9764,Yankee Grey,Another Nine Minutes,190,2000-04-29,2000-05-20,31,
9765,"Bega, Lou",Tricky Tricky ,203,2000-01-29,2000-02-05,31,
9766,Big Punisher,It's So Hard,205,2000-04-22,2000-05-06,31,
9767,"Worley, Darryl",When You Need My Love,215,2000-06-17,2000-09-02,31,
9768,Lil' Kim,How Many Licks?,230,2000-11-25,2000-12-02,31,
9769,"Clark, Terri",A Little Gasoline,187,2000-12-16,2000-12-16,31,
9770,"Brock, Chad",A Country Boy Can Survive,234,2000-01-01,2000-01-08,31,
9771,"Cagle, Chris",My Love Goes On And On,182,2000-10-21,2000-12-02,31,
9772,"Byrd, Tracy",Put Your Hand In Mine,270,2000-01-29,2000-02-12,31,
9773,Metallica,I Disappear,266,2000-05-13,2000-06-17,31,
9774,Jay-Z,Hey Papi,220,2000-08-12,2000-10-07,31,
9775,Fatboy Slim,The Rockafeller Skank,240,1999-11-13,2000-01-22,31,
9776,"Levert, Gerald",Mr. Too Damn Good,246,2000-03-18,2000-04-08,31,
9777,"McKnight, Brian",Stay Or Let It Go,272,2000-02-26,2000-03-25,31,
9778,"Allan, Gary",Smoke Rings In The Dark,258,2000-01-22,2000-02-05,31,
9779,Ginuwine,The Best Man I Can Be,246,2000-01-08,2000-03-04,31,
9780,Before Dark,Monica,244,2000-05-20,2000-06-17,31,
9781,"Estefan, Gloria",No Me Dejes De Querer,205,2000-06-10,2000-06-10,31,
9782,Stone Temple Pilots,Sour Girl,256,2000-07-08,2000-07-29,31,
9783,Montgomery Gentry,Daddy Won't Sell The Farm,258,2000-03-04,2000-03-25,31,
9784,"Cyrus, Billy Ray",You Won't Be Lonely Now,225,2000-09-23,2000-11-11,31,
9785,Clark Family Experience,Meanwhile Back At The Ranch,176,2000-11-18,2000-12-16,31,
9786,"Thomas, Carl",Summer Rain,297,2000-09-23,2000-10-14,31,
9787,"Yearwood, Trisha",Real Live Woman,235,2000-04-01,2000-04-29,31,
9788,Trick Daddy,Shut Up,257,2000-05-20,2000-06-17,31,
9789,"Moore, Chante",Straight Up,220,2000-10-28,2000-12-02,31,
9790,Cam'ron,What Means The World To You,278,2000-10-14,2000-11-18,31,
9791,Juvenile,U Understand,231,2000-02-05,2000-02-12,31,
9792,"Hollister, Dave",Can't Stay,377,2000-03-25,2000-03-25,31,
9793,Tamia,Can't Go For That,218,2000-09-16,2000-09-30,31,
9794,LFO,West Side Story,207,2000-08-05,2000-08-12,31,
9795,"Paisley, Brad",Me Neither,199,2000-05-13,2000-05-20,31,
9796,"Carter, Torrey",Take That,223,2000-06-24,2000-07-08,31,
9797,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),195,2000-09-02,2000-09-09,31,
9798,Madison Avenue,Don't Call Me Baby,224,2000-07-08,2000-09-16,31,
9799,Eve,Got It All,228,2000-07-15,2000-07-22,31,
9800,Limp Bizkit,Re-Arranged,248,1999-12-04,2000-02-05,31,
9801,"Spencer, Tracie",Still In My Heart,251,2000-03-04,2000-03-11,31,
9802,Nu Flavor,3 Little Words,234,2000-06-03,2000-06-17,31,
9803,Tamar,If You Don't Wanna Love Me,242,2000-03-25,2000-04-15,31,
9804,"Levert, Gerald",Baby U Are,250,2000-08-19,2000-08-26,31,
9805,"Hart, Beth",L.A. Song,227,1999-11-27,2000-01-15,31,
9806,"Diffie, Joe",The Quittin' Kind,203,2000-01-01,2000-01-22,31,
9807,Funkmaster Flex,Do You,254,2000-11-11,2000-12-02,31,
9808,"Price, Kelly",Love Sets You Free,226,2000-05-13,2000-05-20,31,
9809,En Vogue,Riddle,310,2000-06-17,2000-06-17,31,
9810,"Herndon, Ty",No Mercy,283,2000-03-18,2000-05-06,31,
9811,Anastacia,I'm Outta Love,241,2000-04-01,2000-04-01,31,
9812,Trina,Pull Over,178,2000-09-09,2000-09-16,31,
9813,Lil' Mo,Ta Da,257,2000-08-12,2000-09-16,31,
9814,A*Teens,Dancing Queen,224,2000-07-08,2000-07-29,31,
9815,"Sheist, Shade",Where I Wanna Be,256,2000-11-11,2000-11-18,31,
9816,De La Soul,All Good?,302,2000-12-23,2000-12-23,31,
9817,"Larrieux, Amel",Get Up,242,2000-03-04,2000-03-11,31,
9818,"Braxton, Toni",Spanish Guitar,264,2000-12-02,2000-12-02,31,
9819,Tuesday,I Know,246,2000-12-30,2000-12-30,31,
9820,LL Cool J,Imagine That,240,2000-08-12,2000-08-19,31,
9821,Master P,Souljas,213,2000-11-18,2000-11-18,31,
9822,Ghostface Killah,Cherchez LaGhost,184,2000-08-05,2000-08-05,31,
9823,"Smith, Will",Freakin' It,238,2000-02-12,2000-02-12,31,
9824,Zombie Nation,Kernkraft 400,210,2000-09-02,2000-09-02,31,
9825,"Eastsidaz, The",Got Beef,238,2000-07-01,2000-07-01,31,
9826,Fragma,Toca's Miracle,202,2000-10-28,2000-10-28,31,
9827,Destiny's Child,Independent Women Part I,218,2000-09-23,2000-11-18,32,
9828,Santana,"Maria, Maria",258,2000-02-12,2000-04-08,32,
9829,Savage Garden,I Knew I Loved You,247,1999-10-23,2000-01-29,32,46.0
9830,Madonna,Music,225,2000-08-12,2000-09-16,32,
9831,"Aguilera, Christina",Come On Over Baby (All I Want Is You),218,2000-08-05,2000-10-14,32,
9832,Janet,Doesn't Really Matter,257,2000-06-17,2000-08-26,32,
9833,Destiny's Child,Say My Name,271,1999-12-25,2000-03-18,32,47.0
9834,"Iglesias, Enrique",Be With You,216,2000-04-01,2000-06-24,32,
9835,Sisqo,Incomplete,232,2000-06-24,2000-08-12,32,
9836,Lonestar,Amazed,265,1999-06-05,2000-03-04,32,45.0
9837,N'Sync,It's Gonna Be Me,190,2000-05-06,2000-07-29,32,
9838,"Aguilera, Christina",What A Girl Wants,198,1999-11-27,2000-01-15,32,
9839,Vertical Horizon,Everything You Want,241,2000-01-22,2000-07-15,32,10.0
9840,Creed,With Arms Wide Open,232,2000-05-13,2000-11-11,32,3.0
9841,Aaliyah,Try Again,243,2000-03-18,2000-06-17,32,43.0
9842,matchbox twenty,Bent,252,2000-04-29,2000-07-22,32,28.0
9843,"Carey, Mariah",Thank God I Found You,254,1999-12-11,2000-02-19,32,
9844,"Hill, Faith",Breathe,244,1999-11-06,2000-04-22,32,4.0
9845,Mya,Case Of The Ex (Whatcha Gonna Do),230,2000-08-19,2000-12-02,32,
9846,Dream,He Loves U Not,223,2000-09-30,2000-12-30,32,
9847,"Braxton, Toni",He Wasn't Man Enough,261,2000-03-18,2000-05-06,32,29.0
9848,"Anthony, Marc",You Sang To Me,230,2000-02-26,2000-06-03,32,44.0
9849,98¡,Give Me Just One Night (Una Noche),204,2000-08-19,2000-09-30,32,
9850,Destiny's Child,Jumpin' Jumpin',228,2000-05-13,2000-08-19,32,39.0
9851,3 Doors Down,Kryptonite,233,2000-04-08,2000-11-11,32,3.0
9852,Sisqo,Thong Song,245,2000-01-29,2000-05-20,32,
9853,"Aguilera, Christina",I Turn To You,240,2000-04-15,2000-07-01,32,
9854,"Houston, Whitney",My Love Is Your Love,256,1999-09-04,2000-01-08,32,
9855,Joe,I Wanna Know,297,2000-01-01,2000-07-01,32,7.0
9856,"Jordan, Montell",Get It On.. Tonite,274,1999-10-23,2000-02-12,32,42.0
9857,N'Sync,Bye Bye Bye,195,2000-01-29,2000-04-15,32,
9858,Eminem,The Real Slim Shady,282,2000-05-06,2000-06-24,32,
9859,Pink,Most Girls,246,2000-08-12,2000-11-25,32,
9860,"Mumba, Samantha",Gotta Tell You,199,2000-09-09,2000-12-09,32,
9861,Blaque,Bring It All To Me,226,1999-10-23,2000-01-22,32,
9862,"Elliott, Missy ""Misdemeanor""",Hot Boyz,231,1999-11-27,2000-01-08,32,
9863,"Gray, Macy",I Try,232,2000-02-19,2000-05-20,32,
9864,N'Sync,This I Promise You,263,2000-09-30,2000-12-02,32,
9865,Ruff Endz,No More,236,2000-07-01,2000-09-02,32,
9866,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,234,2000-01-01,2000-03-18,32,
9867,Nine Days,Absolutely (Story Of A Girl),189,2000-05-06,2000-07-22,32,
9868,"Dion, Celine",That's The Way It Is,243,1999-11-13,2000-03-04,32,
9869,Blink-182,All The Small Things,172,1999-12-04,2000-02-19,32,
9870,Eiffel 65,Blue (Da Ba Dee),209,1999-12-11,2000-01-29,32,
9871,"Badu, Erkyah",Bag Lady,303,2000-08-19,2000-10-07,32,
9872,Pink,There U Go,203,2000-03-04,2000-04-08,32,44.0
9873,Creed,Higher,316,1999-09-11,2000-07-22,32,28.0
9874,Nelly,(Hot S**t) Country Grammar,257,2000-04-29,2000-09-16,32,37.0
9875,Next,Wifey,243,2000-05-27,2000-09-09,32,
9876,Kenny G,Auld Lang Syne (The Millenium Mix),470,1999-12-25,2000-01-08,32,
9877,Sonique,It Feels So Good,228,2000-01-22,2000-04-22,32,
9878,"Spears, Britney",Oops!.. I Did It Again,210,2000-04-22,2000-06-10,32,
9879,"Backstreet Boys, The",Shape Of My Heart,229,2000-10-14,2000-12-02,32,
9880,Everclear,Wonderful,270,2000-07-08,2000-09-30,32,
9881,Ja Rule,Between Me And You,245,2000-09-16,2000-11-18,32,
9882,"Rimes, LeAnn",I Need You,222,2000-05-27,2000-08-12,32,
9883,Smash Mouth,Then The Morning Comes,184,1999-10-30,2000-01-29,32,
9884,Jay-Z,I Just Wanna Love U (Give It 2 Me),230,2000-10-28,2000-12-30,32,
9885,Jagged Edge,Let's Get Married,263,2000-05-06,2000-07-29,32,
9886,Filter,Take A Picture,263,1999-11-27,2000-02-05,32,
9887,"Martin, Ricky",She Bangs,242,2000-10-07,2000-12-02,32,
9888,Mystikal,Shake Ya Ass,286,2000-08-12,2000-10-28,32,
9889,BBMak,Back Here,215,2000-04-29,2000-07-29,32,
9890,"Spears, Britney",From The Bottom Of My Broken Heart,270,2000-01-29,2000-02-26,32,
9891,Third Eye Blind,Never Let You Go,237,2000-01-22,2000-04-01,32,
9892,Red Hot Chili Peppers,Otherside,253,2000-02-12,2000-05-27,32,
9893,Profyle,Liar,237,2000-09-16,2000-10-28,32,
9894,Barenaked Ladies,Pinch Me,226,2000-09-09,2000-11-25,32,
9895,Jagged Edge,He Can't Love U,210,1999-12-11,2000-01-08,32,
9896,504 Boyz,Wobble Wobble,215,2000-04-15,2000-05-06,32,
9897,Sting,Desert Rose,232,2000-05-13,2000-08-26,32,
9898,Jay-Z,Big Pimpin',235,2000-04-22,2000-07-08,32,
9899,Kid Rock,Only God Knows Why,327,2000-02-19,2000-04-15,32,
9900,Foo Fighters,Learn To Fly,235,1999-10-16,2000-01-22,32,
9901,"Dixie Chicks, The",Goodbye Earl,259,2000-03-18,2000-05-06,32,
9902,Guy,Dancin',248,1999-12-18,2000-01-01,32,
9903,Lil Bow Wow,Bounce With Me,202,2000-08-19,2000-09-16,32,
9904,Westlife,Swear It Again,247,2000-04-01,2000-07-01,32,
9905,Train,Meet Virginia,235,1999-10-09,2000-01-22,32,
9906,"Thomas, Carl",I Wish,230,2000-03-25,2000-05-13,32,
9907,Hanson,This Time Around,254,2000-04-22,2000-05-06,32,
9908,"Simpson, Jessica",I Think I'm In Love With You,212,2000-07-01,2000-08-12,32,
9909,Ludacris,What's Your Fantasy,256,2000-09-30,2000-12-16,32,
9910,Lil' Zane,Callin' Me,223,2000-07-29,2000-09-02,32,
9911,M2M,Don't Say You Love Me,221,1999-11-20,2000-01-08,32,
9912,SoulDecision,Faded,205,2000-07-08,2000-09-09,32,
9913,"Brock, Chad",Yes!,202,2000-04-08,2000-07-01,32,
9914,"Martin, Ricky",Shake Your Bon-Bon,188,1999-11-20,2000-02-12,32,
9915,Vertical Horizon,You're A God,225,2000-08-26,2000-11-04,32,
9916,Avant,Separated,253,2000-04-29,2000-05-20,32,
9917,"Rimes, LeAnn",Big Deal,183,1999-10-16,2000-01-01,32,
9918,IMx,Stay The Night,217,1999-10-09,2000-01-08,32,
9919,Dr. Dre,The Next Episode,158,2000-05-27,2000-07-29,32,
9920,"Spears, Britney",Lucky,203,2000-08-12,2000-09-09,32,
9921,Savage Garden,Crash And Burn,281,2000-04-08,2000-05-27,32,
9922,Kandi,Don't Think I'm Not,230,2000-08-05,2000-10-07,32,
9923,Sammie,I Like It,249,2000-01-29,2000-04-15,32,
9924,Goo Goo Dolls,Broadway,234,2000-04-22,2000-07-01,32,
9925,"Moore, Mandy",I Wanna Be With You,252,2000-06-17,2000-08-12,32,
9926,Dr. Dre,Forgot About Dre,222,2000-01-22,2000-03-25,32,
9927,D'Angelo,Untitled (How Does It Feel),430,2000-01-22,2000-02-19,32,
9928,"Messina, Jo Dee",That's The Way,197,2000-06-24,2000-08-26,32,
9929,Avant,My First Love,268,2000-11-04,2000-12-16,32,
9930,Son By Four,A Puro Dolor (Purest Of Pain),210,2000-04-08,2000-08-19,32,
9931,Da Brat,What'Chu Like,237,2000-06-03,2000-08-12,32,
9932,DMX,Party Up (Up In Here),225,2000-02-26,2000-04-22,32,
9933,"Dixie Chicks, The",Cowboy Take Me Away,291,1999-11-27,2000-01-29,32,
9934,"McGraw, Tim",My Next Thirty Years,217,2000-10-21,2000-12-16,32,
9935,"Tritt, Travis",Best Of Intentions,255,2000-08-19,2000-12-02,32,
9936,Alice Deejay,Better Off Alone,410,2000-04-08,2000-06-03,32,
9937,Hoku,Another Dumb Blonde,227,2000-02-19,2000-04-08,32,
9938,"Houston, Whitney",I Learned From The Best,258,2000-02-19,2000-03-25,32,
9939,Counting Crows,Hanginaround,247,1999-11-06,2000-01-29,32,
9940,Mary Mary,Shackles (Praise You),192,2000-03-25,2000-05-13,32,
9941,"Carey, Mariah",Crybaby,319,2000-06-24,2000-06-24,32,
9942,"McGraw, Tim",My Best Friend,273,1999-11-27,2000-01-29,32,
9943,Sugar Ray,Falls Apart,255,2000-01-15,2000-02-19,32,
9944,Madonna,American Pie,270,2000-02-19,2000-03-04,32,
9945,"Jones, Donell",Where I Wanna Be,382,2000-04-22,2000-07-08,32,
9946,"Paisley, Brad",We Danced,225,2000-10-14,2000-12-16,32,
9947,Lonestar,What About Now,210,2000-06-10,2000-08-19,32,
9948,"Backstreet Boys, The",The One,226,2000-05-27,2000-07-01,32,
9949,"Keith, Toby",How Do You Like Me Now?!,209,2000-01-29,2000-04-08,32,
9950,"Strait, George",The Best Day,204,2000-01-29,2000-04-22,32,
9951,"Dixie Chicks, The",Without You,212,2000-10-07,2000-12-23,32,
9952,Musiq,Just Friends (Sunny),242,2000-10-14,2000-12-30,32,
9953,"McEntire, Reba",What Do You Say,206,1999-10-30,2000-01-29,32,
9954,"Braxton, Toni",Just Be A Man About It,250,2000-07-29,2000-09-02,32,
9955,"Iglesias, Enrique",Rhythm Divine,455,1999-12-04,2000-01-22,32,
9956,"Fabian, Lara",I Will Love Again,223,2000-06-10,2000-08-12,32,
9957,Bon Jovi,It's My Life,224,2000-08-12,2000-09-30,32,
9958,"Evans, Sara",Born To Fly,336,2000-10-21,2000-12-30,32,
9959,"Chesney, Kenny",I Lost It,234,2000-10-21,2000-12-23,32,
9960,J-Shin,One Night Stand,274,1999-12-25,2000-02-26,32,
9961,Eve,Love Is Blind,231,2000-01-08,2000-02-19,32,
9962,Aaliyah,I Don't Wanna,255,2000-01-29,2000-03-04,32,
9963,"Montgomery, John Michael",The Little Girl,232,2000-09-09,2000-10-28,32,
9964,"Carter, Aaron",Aaron's Party (Come Get It),203,2000-08-26,2000-09-16,32,
9965,"Vassar, Phil",Just Another Day In Paradise,234,2000-09-30,2000-12-02,32,
9966,Ice Cube,You Can Do It,260,1999-12-04,2000-01-15,32,
9967,"Wills, Mark",Back At One,240,2000-01-15,2000-02-26,32,
9968,Lucy Pearl,Dance Tonight,225,2000-05-20,2000-07-29,32,
9969,"Jackson, Alan",It Must Be Love,173,2000-06-24,2000-09-02,32,
9970,"Griggs, Andy",She's More,199,2000-03-11,2000-06-10,32,
9971,No Doubt,Simple Kind Of Life,251,2000-07-01,2000-07-22,32,
9972,"Jean, Wyclef",911,240,2000-10-07,2000-11-25,32,
9973,Rascal Flatts,Prayin' For Daylight,216,2000-05-06,2000-08-12,32,
9974,Vitamin C,Graduation (Friends Forever),263,2000-04-15,2000-06-10,32,
9975,"Gilman, Billy",One Voice,247,2000-06-17,2000-09-02,32,
9976,Lonestar,Smile,213,1999-12-18,2000-02-12,32,
9977,"Rogers, Kenny",Buy Me A Rose,226,2000-03-11,2000-05-06,32,
9978,"Lawrence, Tracy",Lessons Learned,175,2000-01-29,2000-04-08,32,
9979,"Strait, George",Go On,228,2000-08-26,2000-10-28,32,
9980,Sisqo,Got To Get It,232,1999-11-20,2000-01-22,32,
9981,Baha Men,Who Let The Dogs Out,197,2000-07-22,2000-10-21,32,
9982,"Walker, Clay",The Chain Of Love,303,2000-04-15,2000-06-10,32,
9983,"McBride, Martina",Love's The Only House,313,2000-02-05,2000-04-15,32,
9984,Amber,Sexual (Li Da Di),278,1999-07-17,2000-02-12,32,46.0
9985,"Tippin, Aaron",Kiss This,173,2000-08-26,2000-10-21,32,
9986,SheDaisy,I Will.. But,220,2000-07-15,2000-09-16,32,
9987,"Raye, Collin",Couldn't Last A Moment,220,2000-03-18,2000-06-24,32,
9988,Black Rob,Whoa!,244,2000-03-04,2000-04-15,32,
9989,"Jackson, Alan",Pop A Top,184,1999-11-13,2000-01-22,32,
9990,"Black, Clint",Been There,328,2000-02-19,2000-04-15,32,
9991,Common,The Light,235,2000-08-05,2000-09-09,32,
9992,"Vassar, Phil",Carlene,247,2000-03-04,2000-04-22,32,
9993,"Jackson, Alan",www.memory,156,2000-11-04,2000-12-23,32,
9994,Vitamin C,The Itch,210,2000-12-02,2000-12-16,32,
9995,"Eastsidaz, The",G'D Up,267,2000-01-08,2000-02-12,32,
9996,Ideal,Whatever,228,2000-06-10,2000-08-19,32,
9997,"Thomas, Carl",Emotional,271,2000-11-25,2000-12-30,32,
9998,Ginuwine,None Of Ur Friends Business,252,1999-12-11,2000-01-22,32,
9999,"Davidson, Clay",Unconditional,236,2000-03-25,2000-06-17,32,
10000,DMX,What You Want,245,2000-07-01,2000-09-23,32,
10001,"John, Elton",Someday Out Of The Blue,281,2000-04-22,2000-05-06,32,
10002,Pearl Jam,Nothing As It Seems,320,2000-05-13,2000-05-13,32,
10003,Mya,The Best Of Me,252,2000-04-15,2000-05-20,32,
10004,"Heatherly, Eric",Flowers On The Wall,196,2000-04-29,2000-08-12,32,
10005,Eminem,Stan,326,2000-11-04,2000-12-02,32,
10006,"McEntire, Reba",I'll Be,263,2000-05-13,2000-07-29,32,
10007,"Lopez, Jennifer",Feelin' Good,268,2000-02-19,2000-04-08,32,
10008,"Urban, Keith",Your Everything,250,2000-07-15,2000-09-16,32,
10009,TLC,Dear Lie,276,2000-02-12,2000-03-04,32,
10010,"Gill, Vince",Feels Like Love,253,2000-09-02,2000-11-18,32,
10011,"Houston, Whitney",Could I Have This Kiss Forever,234,2000-06-17,2000-08-05,32,
10012,Bloodhound Gang,The Bad Touch,260,2000-03-18,2000-04-15,32,
10013,"Williams, Robbie",Angels,236,1999-11-20,2000-01-22,32,
10014,"Messina, Jo Dee",Because You Love Me,230,2000-01-29,2000-03-11,32,
